row,abbrev,team,baseline_qb,baseline_value,active_qb,active_value,confidence,source,reviewed_for_season,last_update,note,verification_status
117,WMU,Western Michigan,Broc Lowry,0,Broc Lowry (returning starter),0,M,Athlon/ESPN/RotoWire MAC 2026 previews (https://athlonsports.com/college-football/mac-football-2026-predictions),2026,2026-08-04,"VERIFIED 7D.1 (2026-08-03), RE-CONFIRMED 7D.5 2026-08-04: Broc Lowry is RETURNING to Western Michigan for 2026 as the starting quarterback, entering his SECOND season as the primary starter with two years of eligibility left. He won MAC OFFENSIVE PLAYER OF THE YEAR in his first year as a starter (1,803 pass / 963 rush / 23 total TD) on the MAC-champion team. Established returning starter, no formal 2026 naming -> M retained (not H), consistent with the Texas State / Toledo / FAU precedent. Zeros retained; status OK.",VERIFIED 7D.5
118,AFA,Air Force,Liam Szarka,0,Liam Szarka,0,H,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-07-21,returning starter | 2025: Air Force 2025 | returning starter (option offense) | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
119,HAW,Hawai'i,Micah Alejado,0,Micah Alejado,0,H,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-07-21,returning starter | 2025: Hawaii 2025 starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
120,NEV,Nevada,,,Open competition (fall camp),,L,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-08-03,VERIFIED 2026-08-03: Nevada is going through a quarterback COMPETITION in fall camp; no leader established in current coverage. L retained; entry generalized from a single name; values blank; UNCERTAIN.,VERIFIED 7D.4
121,UNM,New Mexico,Jack Layne,0,Jack Layne,0,H,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-07-21,returning starter | 2025: New Mexico 2025 starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
122,NDSU,North Dakota State,Nathan Hayes,0,Nathan Hayes,0,M,Shaw Local / CFN NDSU preview (https://www.shawlocal.com/friday-night-drive/2026/07/20/after-5-years-of-waiting-north-dakota-state-quarterback-st-charles-east-grad-nathan-hayes-gets-his-moment/),2026,2026-08-03,"VERIFIED 2026-08-03: Nathan Hayes is North Dakota State's projected starter and a FIRST-TIME starter (senior); optimism cited given NDSU's QB-development record. Projected starter, unproven -> M retained. NOTE: NDSU is transitional; workbook transitional rules apply separately.",VERIFIED 7D.4
123,NIU,Northern Illinois,,,Taron Dickens (Western Carolina transfer),,M,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-08-03,"DEFECT CORRECTED 2026-08-03: prior entry listed 'Open (Davidson / Macon / Hamric)' - none appear in current NIU coverage. Verified: TARON DICKENS, Western Carolina transfer and FCS WALTER PAYTON AWARD RUNNER-UP in 2025, is NIU's quarterback, paired with new OC Tony Petersen (ex-Illinois State, hired March 2026). High-profile transfer widely expected to start -> L upgraded to M. Per the L->M rule numerical values REMAIN BLANK (valuation unresolved), so status correctly stays UNCERTAIN.",VERIFIED 7D.4
124,SJSU,San José State,,,Open (three-way; starter not selected),,L,Spartan Media Group / Duke Chronicle (https://spartanmediagroup.net/9716/sports/three-spartans-battle-for-starting-quarterback/),2026,2026-08-03,VERIFIED 2026-08-03: HC Ken Niumatalolo enters year three with a TOTAL RESET and must pick a quarterback among THREE separate candidates. Genuine open competition -> L retained; entry generalized from a single name; values blank; UNCERTAIN.,VERIFIED 7D.4
125,UNLV,UNLV,Jackson Arnold,,Open (Jackson Arnold / Alex Orji),,L,ESPN (Arnold to UNLV) (https://www.espn.com/college-football/story/_/id/47539823/qb-jackson-arnold-headed-unlv-third-team-three-seasons),2026,2026-08-04,"DEFECT CORRECTED 7D.5 2026-08-04: prior entry read 'projected transfer QB1 (verified)' (M) for the Oklahoma/Auburn transfer. The Las Vegas Review-Journal's training-camp preview (2026-07-28) reports a genuine unresolved battle: 'even if coaches won't name a front-runner throughout training camp, there is definitely a battle between returner ALEX ORJI and Auburn transfer JACKSON ARNOLD.' HC Dan Mullen has NOT named a starter, and Fox5 Vegas (2026-07-17) ran a segment on the still-open competition. Arnold brings 18 career starts, 3,293 pass yds and 871 rush yds across Oklahoma and Auburn; Orji must prove a Grade 3 LCL sprain and severe hamstring tear from the 2025 UCLA game have healed. The word 'verified' in the prior note was not supported by any naming. -> M downgraded to L; zeros CLEARED to blank; status becomes UNCERTAIN. Someone must start vs Memphis on 2026-08-29. RECHECK: UNLV depth chart.",VERIFIED 7D.5
126,UTEP,UTEP,EJ Colson,0,EJ Colson,0,H,Wikipedia 2026 UTEP / Athlon (https://en.wikipedia.org/wiki/2026_UTEP_Miners_football_team),2026,2026-08-03,VERIFIED 2026-08-03: EJ Colson (Incarnate Word transfer) was NAMED UTEP's starting quarterback in the SPRING. An official naming with no competition reported meets the H standard -> M upgraded to H. Zero initialization RETAINED (correct for H under the preseason baseline-delta method); status remains OK. RECHECK: any camp change to the spring depth chart.,VERIFIED 7D.4
127,WYO,Wyoming,Tyler Hughes,0,Tyler Hughes,0,M,Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),2026,2026-08-03,"VERIFIED 2026-08-03: Tyler Hughes (William & Mary transfer) confirmed as Wyoming's incoming QB - 2,330 pass yds, 20 TD, 670 rush yds, 11 rush TD in 2025; previously worked with the Wyoming staff at W&M in 2022-23. Transfer widely expected to start -> M retained.",VERIFIED 7D.4
128,APP,Appalachian State,Malachi Singleton,,Open (Malachi Singleton / Hasselbeck),,L,ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),2026,2026-08-03,"DEFECT CORRECTED 2026-08-03: prior entry asserted Malachi Singleton as the likely starter (M). Current coverage describes Singleton AND Hasselbeck as 'the main competitors for the starting gig' with NO leader identified. Per the standard, M requires a clear likely starter and must not be assigned merely because one player is the most recognizable name - Singleton is an Arkansas/Purdue transfer, which is name recognition, not evidence of a lead. -> M downgraded to L. Numerical zeros CLEARED to blank per the approved Akron consistency methodology; status becomes UNCERTAIN.",VERIFIED 7D.4
129,ARST,Arkansas State,,,Open (Owens / Dickey / St. Hilare / Haly),,L,College Football News Arkansas State preview (https://collegefootballnews.com/college-football/arkansas-state-football-preview-2026),2026,2026-08-03,VERIFIED 2026-08-03: HC Butch Jones at Sun Belt Media Days said the starting quarterback race CONTINUES with 'four real capable players' at the position. Genuine open competition -> L retained; values blank; UNCERTAIN.,VERIFIED 7D.4
130,CCU,Coastal Carolina,,,Open (Deuce Bailey among candidates),,L,Coastal Carolina Athletics / Yahoo (https://goccusports.com/news/2026/7/9/ryan-beard-previews-fall-camp-coastal-carolina-football-2026),2026,2026-08-03,"VERIFIED 2026-08-03: Coastal Carolina's incoming transfers include POTENTIAL starting quarterback Deuce Bailey, who followed HC Beard from Missouri State. 'Potential' starter, room unsettled -> L retained; entry refined.",VERIFIED 7D.4
131,GASO,Georgia Southern,,,Max Johnson (leader; Turner Helton competing),,M,ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),2026,2026-08-04,"STALE ENTRY CORRECTED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: prior entry read 'Open (Weston Bryan / Turner Helton)' and OMITTED MAX JOHNSON ENTIRELY. Johnson signed from North Carolina on 2026-01-11 (previously LSU 2020-21, Texas A&M 2022-23), and at SUN BELT MEDIA DAYS (2026-07-15) HC CLAY HELTON SAID 'Max Johnson is expected to be the starter if the season began today,' citing experience and high-level production. Turner Helton (WKU transfer, the head coach's son; 14/26, 74 yds, 1 TD in 3 appearances in 2025) is the other player with a shot at the 2026-09-05 opener; both took first-team reps in the spring game. Documented leader by direct head-coach statement, no official naming -> M (not H). Per the L->M rule values REMAIN BLANK, so status correctly stays UNCERTAIN. OPEN RISK: Johnson's durability - season-ending injuries at Texas A&M in 2022 and 2023 and a broken leg in UNC's 2024 opener.",VERIFIED 7D.4A
132,GAST,Georgia State,Cameran Brown,0,Cameran Brown,0,H,Georgia State Athletics / 247 (https://georgiastatesports.com/sports/football/roster/cameran-brown/8387),2026,2026-07-21,"returning starter | 2025: 2025: 1,296 yds, 13 TD (120 comp) | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
133,JMU,James Madison,Arrington Maiden,0,Arrington Maiden,0,M,Underdog Dynasty JMU (https://www.underdogdynasty.com/sun-belt-conference/42407/james-madison-reloads-at-qb-with-memphis-transfer-arrington-maiden),2026,2026-08-03,"VERIFIED 2026-08-03 (with tension): James Madison 'reloads at QB' with Memphis transfer Arrington Maiden, though the same coverage says he is 'expected to COMPETE for the starting role.' Transfer expected to start but not confirmed as the settled leader -> M retained (not H). RECHECK: JMU depth chart or staff naming.",VERIFIED 7D.4
134,ULL,Louisiana,Lunch Winfield,0,Lunch Winfield,0,H,Louisiana Athletics / ESPN (https://ragincajuns.com/sports/football/roster/walker-howard/10140),2026,2026-07-21,returning starter | 2025: Strong sophomore season | returning starter (locked in) | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
135,LT,Louisiana Tech,Blake Baker,0,Blake Baker,0,H,Ruston Daily Leader (https://www.rustonleader.com/sports/baker-enters-2026-season-techs-starting-qb),2026,2026-07-21,returning starter | 2025: LA Tech 2025 | HC-named starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
136,MRSH,Marshall,Carlos Del Rio-Wilson,0,Carlos Del Rio-Wilson,0,H,ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),2026,2026-07-21,"returning starter | 2025: 2025: 2,043 pass yds, 714 non-sack rush yds, 10 starts | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
137,ODU,Old Dominion,Quinn Henicle,0,Quinn Henicle (leader; Potter / Huff competing),0,M,ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),2026,2026-08-04,"VERIFIED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: the job opened when 2025 starter Colton Joseph transferred to Wisconsin. Quinn Henicle (RS-So) started the 2025 Cure Bowl in his place and was GAME MVP in a 24-10 win over South Florida (11/25, 127 yds; 24 carries, 107 yds, 2 rush TD incl. a 51-yd TD run); he is 2-0 as a starter. Beat coverage says Henicle 'HAS A LEG UP' and is 'the front runner to land the QB1 role', while reporting he 'remains enmeshed in a three-way battle' with RS-Jr JAXON POTTER (Washington State transfer, announced 2026-01-13) and RS-Fr Ryan Huff. Henicle 2026-04-03: 'I'm competing like I'm trying to earn this job.' HC Ricky Rahne (7th season, off 10-3) has NOT named a starter. Leader backed by on-field production rather than name recognition -> M retained (not H); zeros retained; status OK. RECHECK: official Old Dominion depth chart.",VERIFIED 7D.4A
138,USA,South Alabama,Bishop Davenport,0,Bishop Davenport,0,H,South Alabama Athletics / ESPN (https://usajaguars.com/sports/football/roster/bishop-davenport/13011),2026,2026-07-21,"returning starter | 2025: 2025: 68% comp, 2,072 yds, 12 TD, 6 INT; 326 rush, 9 rush TD | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
139,USM,Southern Miss,,,Open (White / Hampton / Lyddy),,L,SI Southern Miss (https://www.si.com/college/southernmiss/from-fourth-string-to-qb1-john-white-turning-heads-at-southern-miss-spring-practice),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: HC BLAKE ANDERSON says Landry Lyddy is 'VERY MUCH IN THE RACE' to be Southern Miss's opening-night starter as fall camp nears, alongside John White and Illinois transfer Ethan Hampton. NO single starter named. Genuine open competition -> L retained; values blank; UNCERTAIN. Entry corroborated. (Southern Miss's staff was corrected by the owner in Phase 7C.1: Blake Anderson is the 24th HC, announced 2025-12-11.)",VERIFIED 7D.5
140,TROY,Troy,Goose Crowder,0,Goose Crowder,0,H,ESPN Goose Crowder / Athlon (https://www.espn.com/college-football/player/_/id/4431633/goose-crowder),2026,2026-07-21,returning starter | 2025: Troy 2025 starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
141,ULM,ULM,Aidan Armenta,0,Aidan Armenta,0,H,ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),2026,2026-07-21,returning starter | 2025: ULM 2025 starter | returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
142,ND,Notre Dame,CJ Carr,0,CJ Carr,0,H,SI / ESPN (CJ Carr Notre Dame) (https://www.si.com/fannation/college/cfb-hq/news/college-football-top-25-most-important-players-2026-no-13-qb-cj-carr-notre-dame),2026,2026-07-21,returning starter | 2025: Won job as 2025 opener starter; strong first year | established returning starter | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
143,CONN,UConn,Tucker McDonald,,Unverified (room in flux after HC departure),,L,SI UConn (Tucker McDonald returns) (https://www.si.com/college/uconn/football/uconn-huskies-tucker-mcdonald-confirms-return-another-season),2026,2026-08-03,"DEFECT CORRECTED 2026-08-03: prior entry named Tucker McDonald (M) - NOT corroborated by any located source. Verified instead: Jim Mora LEFT UConn for the Colorado State head job; UConn's 2026 QB commit departed after Mora's exit; 2025 starter Joe Fagnano (2,529 yds, 22 TD through nine games) was a senior and is gone. Projected starter CANNOT BE VERIFIED -> L per the standard. Numerical zeros CLEARED to blank per the Akron methodology. RECHECK: UConn athletics depth chart or new-HC presser naming QB1.",VERIFIED 7D.3A
